plantPartsID	plantParts	wikidataID
PP1	aerial (dried)	
PP2	aerial (flowering)	
PP3	aerial part	
PP4	apical (branches)	
PP5	apices from plantlet	
PP6	balsam	
PP7	bark	
PP8	bark wood	
PP9	belowground parts	
PP10	berries	Q16128920
PP11	branch	
PP12	branch (dry)	
PP13	branch (fresh)	
PP14	branchlets	
PP15	bulb	Q188748
PP16	calyx	Q2933965
PP17	capitula	
PP18	clove bud	
PP19	cone	Q22710
PP20	corolla	
PP21	dried above ground part	
PP22	female flower	Q56121304
PP23	feminine cone	
PP25	fine stem	
PP26	floral bud	
PP27	flower	Q506
PP28	flower stalk	
PP29	flowering bud	
PP30	flowering shoot	
PP31	flowering top	Q70062083
PP32	flowering umbel	
PP33	foliage	
PP34	fresh herb	Q58796689
PP35	fruit	Q1364
PP36	fruit (3/4th yellow)	
PP37	fruit (color turn)	
PP38	fruit (dark green)	
PP39	fruit (full yellow)	
PP40	fruit (half yellow)	
PP41	fruit (juice extract)	
PP42	fruit (light green)	
PP43	fruit (ripe)	
PP44	fruit (soaked chopped)	
PP45	fruit (soaked grounded)	
PP46	fruit (unripe cut)	
PP47	fruit (unripe intact)	
PP48	fruit peel	
PP49	gall	
PP50	grass	Q643352
PP51	gum	
PP52	hairy root	
PP53	hairy roots (complete darkness)	
PP54	hairy roots (photoperiod)	
PP55	herb	Q207123
PP56	husk	
PP57	immature seeds	
PP58	inflorescence	Q156428
PP59	inflorescence spikelet	
PP60	inflorescence stem	
PP61	latex	
PP62	leaf	Q33971
PP63	leaf (dry)	Q57051635
PP64	leaf (fresh)	
PP65	leaf blade	
PP66	leaf lamina	
PP67	leaf sheath	
PP68	leaflet	
PP69	male flower	
PP70	mature seed	
PP71	mature umbel	
PP72	needle	
PP73	oleo-gum resin	
PP74	oleo-resin	Q60777361
PP75	parent roots	
PP76	peel	
PP77	pericarp	Q876445
PP78	petal	Q107412
PP79	pomace	Q927202
PP80	resin	Q145205
PP81	rhizome	Q184208
PP82	ripe fruit	
PP83	ripe fruit peel	
PP84	ripe seed	
PP85	root	
PP86	root bark	Q59243260
PP87	root wood	Q58696517
PP88	seed	Q40763
PP89	seed (commercial plants)	
PP90	seed (fresh)	Q58261300
PP91	seed (lab-dried)	
PP92	seed (market)	
PP93	seed (wild plants)	
PP94	semi-ripe fruits	
PP95	shoot	
PP96	shoot culture	
PP97	spike	
PP98	stalk	
PP100	stem	Q134267
PP101	stem bark	Q21254684
PP103	stem wood chips	
PP104	terminal branch	
PP105	terminal branch (non-woody)	
PP106	terminal branch (woody)	Q11162356
PP107	terminal branchlet	
PP108	thin branch	Q11162356
PP109	top (uppermost part of shoot)	
PP110	trichome	
PP111	trunk	Q193472
PP112	trunk wood	
PP113	tuber	Q7850807
PP114	tuberous root	
PP115	twig	
PP116	umbel	
PP117	umbel rays	
PP118	unripe fruit	
PP119	unripe seed	Q60286656
PP120	vegetative material	
PP121	whole fruit	
PP122	whole plant	
PP123	whole plant (fresh material)	
PP124	whole plant biomass	
PP125	wood	Q287
PP126	wood (buttwood)	
PP127	wood (trunk wood)	
PP129	young shoot	
